Frequency,CHD,BHC,YTA,ZHY,LZH,Vel_AVG,Frequency,CHD,BHC,YTA,ZHY,LZH,Dis_AVG,Frequency,CHD,BHC,YTA,ZHY,LZH,Acc_AVG
9.66797,74.1109,76.5872,78.1449,115.403,168.401,78.1449,9.66797,1.22002,1.26079,1.28643,1.89978,2.77223,1.28643,9.66797,4501.91,4652.34,4746.96,7010.25,10229.6,4746.96
9.76563,106.53,141.273,190.722,114.364,115.372,115.372,9.76563,1.73617,2.30238,3.10829,1.86384,1.88027,1.88027,9.76563,6536.6,8668.37,11702.6,7017.28,7079.14,7079.14
9.86328,133.988,119.78,121.192,204.753,235.565,133.988,9.86328,2.16204,1.93279,1.95556,3.30392,3.80111,2.16204,9.86328,8303.61,7423.13,7510.59,12689.1,14598.7,8303.61
9.96094,109.753,118.486,55.1796,173.902,175.257,118.486,9.96094,1.75362,1.89316,0.881655,2.77859,2.80025,1.89316,9.96094,6869.05,7415.61,3453.5,10883.9,10968.7,7415.61
10.0586,107.124,143.038,101.43,130.727,141.479,130.727,10.0586,1.695,2.26326,1.60491,2.06846,2.23859,2.06846,10.0586,6770.26,9040,6410.41,8261.94,8941.47,8261.94
10.1563,57.869,70.1923,91.6625,91.9486,117.499,91.6625,10.1563,0.906844,1.09996,1.43641,1.44089,1.84129,1.43641,10.1563,3692.83,4479.23,5849.31,5867.57,7498.05,5849.31
10.2539,47.7235,102.452,279.446,85.9958,179.073,102.452,10.2539,0.740735,1.5902,4.33739,1.33478,2.77946,1.5902,10.2539,3074.69,6600.71,18003.9,5540.47,11537.1,6600.71
10.3516,48.4218,87.8934,274.491,92.1611,201.055,92.1611,10.3516,0.744483,1.35136,4.22029,1.41697,3.09121,1.41697,10.3516,3149.39,5716.66,17853.1,5994.23,13076.8,5994.23
10.4492,27.1161,63.629,225.036,52.3974,116.486,63.629,10.4492,0.413012,0.969152,3.42758,0.798079,1.77422,0.969152,10.4492,1780.29,4177.53,14774.6,3440.12,7647.79,4177.53
10.5469,32.7782,71.3818,202.222,169.341,82.582,82.582,10.5469,0.494631,1.07717,3.05158,2.5554,1.24618,1.24618,10.5469,2172.14,4730.33,13400.8,11221.9,5472.54,5472.54
10.6445,51.0812,19.0206,134.356,150.718,80.4746,80.4746,10.6445,0.763755,0.284393,2.00886,2.2535,1.20324,1.20324,10.6445,3416.39,1272.13,8985.93,10080.2,5382.27,5382.27
10.7422,36.587,105.233,181.362,88.0674,179.19,105.233,10.7422,0.542069,1.55912,2.68703,1.3048,2.65486,1.55912,10.7422,2469.45,7102.71,12241,5944.12,12094.5,7102.71
10.8398,23.4681,145.311,79.7084,138.827,71.1437,79.7084,10.8398,0.344567,2.13352,1.17031,2.03831,1.04456,1.17031,10.8398,1598.38,9896.98,5428.84,9455.34,4845.51,5428.84
10.9375,29.4426,110.811,96.3871,180.773,149.908,110.811,10.9375,0.428428,1.61245,1.40256,2.63049,2.18136,1.61245,10.9375,2023.36,7615.21,6623.94,12423.2,10302,7615.21
11.0352,43.1412,25.3337,36.786,205.035,180.088,43.1412,11.0352,0.622206,0.365376,0.530548,2.95712,2.59733,0.622206,11.0352,2991.24,1756.53,2550.59,14216.3,12486.6,2991.24
11.1328,22.6049,62.6225,100.059,135.186,168.595,100.059,11.1328,0.32316,0.895253,1.43044,1.93262,2.41024,1.43044,11.1328,1581.2,4380.42,6999.06,9456.16,11793.1,6999.06
11.2305,21.5905,86.2332,204.983,171.964,115.603,115.603,11.2305,0.305974,1.22207,2.90495,2.43702,1.63829,1.63829,11.2305,1523.49,6084.89,14464.2,12134.3,8157.29,8157.29
11.3281,12.2407,79.1691,122.745,117.952,151.912,117.952,11.3281,0.171976,1.11229,1.72451,1.65716,2.1343,1.65716,11.3281,871.25,5634.99,8736.59,8395.4,10812.6,8395.4
11.4258,37.7216,119.953,56.1239,173.563,146.092,119.953,11.4258,0.525441,1.67088,0.781775,2.41764,2.03499,1.67088,11.4258,2708.04,8611.45,4029.15,12460.1,10488,8611.45
11.5234,42.6221,37.7034,318.939,131.239,205.707,131.239,11.5234,0.588672,0.520737,4.405,1.8126,2.84111,1.8126,11.5234,3086.01,2729.87,23092.4,9502.24,14894,9502.24
11.6211,50.3105,37.9824,296.462,144.746,101.322,101.322,11.6211,0.68902,0.520183,4.06015,1.98235,1.38765,1.38765,11.6211,3673.55,2773.38,21646.9,10569,7398.3,7398.3
11.7188,18.1507,1.13706,136.454,161.393,66.9541,66.9541,11.7188,0.246509,0.0154427,1.85321,2.19191,0.909318,0.909318,11.7188,1336.46,83.7232,10047.2,11883.5,4929.9,4929.9
11.8164,17.9346,49.0022,113.058,145.926,34.0357,49.0022,11.8164,0.241561,0.66001,1.52278,1.96547,0.458426,0.66001,11.8164,1331.55,3638.15,8393.99,10834.2,2526.97,3638.15
11.9141,40.7805,68.8272,188.917,64.1706,126.362,68.8272,11.9141,0.54477,0.919434,2.52366,0.857228,1.68802,0.919434,11.9141,3052.76,5152.29,14142,4803.7,9459.24,5152.29
12.0117,21.7659,64.8649,104.672,90.5617,188.269,90.5617,12.0117,0.288398,0.859458,1.3869,1.19994,2.49456,1.19994,12.0117,1642.72,4895.48,7899.76,6834.86,14209,6834.86
12.1094,10.3902,49.4189,78.3896,92.9428,163.823,78.3896,12.1094,0.13656,0.649518,1.03028,1.22156,2.15314,1.03028,12.1094,790.546,3760.06,5964.3,7071.59,12464.5,5964.3
12.207,34.9358,77.4184,38.9476,99.1729,184.954,77.4184,12.207,0.455492,1.00938,0.507798,1.29301,2.41143,1.00938,12.207,2679.54,5937.92,2987.25,7606.46,14185.8,5937.92
12.3047,24.779,84.668,45.0578,116.436,77.9995,77.9995,12.3047,0.320504,1.09514,0.582799,1.50604,1.00888,1.00888,12.3047,1915.73,6545.91,3483.53,9001.96,6030.35,6030.35
12.4023,30.9345,111.328,113.032,37.3556,135.964,111.328,12.4023,0.396972,1.42864,1.4505,0.479371,1.74478,1.42864,12.4023,2410.61,8675.4,8808.17,2910.98,10595.1,8675.4
12.5,22.0338,80.948,124.456,17.0556,27.091,27.091,12.5,0.280544,1.03066,1.58463,0.217159,0.344933,0.344933,12.5,1730.53,6357.64,9774.78,1339.54,2127.72,2127.72
12.5977,39.4006,85.2611,51.3351,57.6889,132.949,57.6889,12.5977,0.497775,1.07716,0.648552,0.728824,1.67964,0.728824,12.5977,3118.69,6748.71,4063.35,4566.27,10523.4,4566.27
12.6953,20.5819,49.0321,26.5305,108.023,33.0766,33.0766,12.6953,0.258025,0.614692,0.332601,1.35423,0.414666,0.414666,12.6953,1641.76,3911.15,2116.26,8616.64,2638.42,2638.42
12.793,19.9945,23.3916,41.9064,40.1868,194.603,40.1868,12.793,0.248748,0.29101,0.52135,0.499956,2.42102,0.499956,12.793,1607.17,1880.23,3368.46,3230.24,15642.3,3230.24
12.8906,32.0053,6.61305,15.6053,89.1221,24.6076,24.6076,12.8906,0.395156,0.0816485,0.192671,1.10035,0.303819,0.303819,12.8906,2592.24,535.619,1263.93,7218.37,1993.07,1993.07
